 2.82007304747028,	1.17935856467623,	1.83859579785928,
 1.99292728480874,	2.31763211455619,	1.83843943545653,
 2.82007306407460,	-1.17935856674225,	1.83859578825923,
 1.99292731002738,	-2.31763213010177,	1.83843940672474,
 3.44030468445267,	0.72891099900375,	0.59868355630773,
 3.21178385063740,	1.43244001447135,	-0.59824200773993,
 3.44030464709872,	-0.72891091562938,	0.59868352213429,
 3.21178373252357,	-1.43243992404322,	-0.59824202277000,
 2.43712316378567,	-0.00000000239801,	2.60502142942849,
 1.24030852769908,	0.00000001820497,	3.34520728976568,
 -0.24978248553348,	3.04607697271775,	1.83827866130073,
 -1.58773100419019,	2.61083800239840,	1.83777959115429,
 1.75664678395075,	3.04686872222489,	0.59863178848915,
 2.35503393795131,	2.61184588713421,	-0.59839481130938,
 0.36994858355384,	3.49625794973351,	0.59828111737213,
 -0.36994849724703,	3.49625804759511,	-0.59828113068209,
 0.75331178688166,	2.31768144594957,	2.60514797516121,
 0.38344473697743,	1.17927480159717,	3.34514995308027,
 -2.97455882640102,	0.70352286284326,	1.83817819313345,
 -2.97455890542706,	-0.70352286279141,	1.83817822236737,
 -2.35503382080255,	2.61184579421438,	0.59839479709045,
 -1.75664673095092,	3.04686878488033,	-0.59863177200064,
 -3.21178374819403,	1.43243995196194,	0.59824200114886,
 -3.44030468212912,	0.72891095330071,	-0.59868355302003,
 -1.97091449643960,	1.43197706865541,	2.60407358470319,
 -1.00300152908753,	0.72882649666536,	3.34507698740227,
 -1.58773100919374,	-2.61083799021735,	1.83777962068119,
 -0.24978248138411,	-3.04607701028343,	1.83827865368063,
 -3.21178381391995,	-1.43243998513431,	0.59824202678638,
 -3.44030466824275,	-0.72891096116383,	-0.59868353751046,
 -2.35503382489242,	-2.61184582027676,	0.59839481058721,
 -1.75664676496884,	-3.04686884381312,	-0.59863176731406,
 -1.97091455846266,	-1.43197703407808,	2.60407356926486,
 -1.00300155326498,	-0.72882642714069,	3.34507689852512,
 0.36994856323469,	-3.49625801648503,	0.59828109101845,
 -0.36994855185398,	-3.49625812891958,	-0.59828115547568,
 1.75664677403433,	-3.04686873658826,	0.59863176409041,
 2.35503384136651,	-2.61184580032249,	-0.59839482851280,
 0.75331178825259,	-2.31768140044018,	2.60514787615366,
 0.38344472147709,	-1.17927475380139,	3.34514983141395,
 1.58773108437888,	2.61083808190327,	-1.83777962746437,
 0.24978252004401,	3.04607704454305,	-1.83827870311107,
 2.97455887185779,	0.70352290226985,	-1.83817821159492,
 2.97455877898151,	-0.70352281553835,	-1.83817816629579,
 1.97091454374852,	1.43197710185667,	-2.60407357447298,
 1.00300149353115,	0.72882646258937,	-3.34507680488190,
 -1.99292727927940,	2.31763214220650,	-1.83843938613304,
 -2.82007308347460,	1.17935857568134,	-1.83859578746290,
 -0.75331177437132,	2.31768143010595,	-2.60514792702164,
 -0.38344473769242,	1.17927477088775,	-3.34514988594718,
 -2.82007312949059,	-1.17935862975445,	-1.83859580479517,
 -1.99292730298696,	-2.31763218711511,	-1.83843936975224,
 -2.43712320996726,	-0.00000001910971,	-2.60502145492393,
 -1.24030855599245,	-0.00000001733850,	-3.34520731671895,
 0.24978247244174,	-3.04607711085226,	-1.83827873632113,
 1.58773102259607,	-2.61083806330053,	-1.83777966173231,
 -0.75331182061370,	-2.31768149295213,	-2.60514794590020,
 -0.38344475091065,	-1.17927482641077,	-3.34514989092103,
 1.97091448477792,	-1.43197704037103,	-2.60407355056572,
 1.00300149474935,	-0.72882645171484,	-3.34507684818963,
